"Bug编号","所属产品","所属模块","所属项目","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"10173","AC-直播学生端(#10)","通用(#16)","AC_Android_2.9.0(#340)","","","PAD端SPH课表详情页进入首页定位不准确问题","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-08-22","主干(#trunk)","Closed","2019-08-26","xiang.xiang","已解决","0822 pm android 29005(#848)","2019-08-22","胡春霞","2019-08-26","0","","","胡春霞","2019-08-26","",""
"10174","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","每个Level的最后一节课触发解锁弹窗  应该是不会的 ","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","李宏斌","2019-08-22","AC iPad 2.9.0 0822(#835)","Closed","2019-08-23","张津铭","已解决","AC iPad 2.9.0 0823(#836)","2019-08-23","李宏斌","2019-08-23","0","","","李宏斌","2019-08-23","",""
"10179","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","切换 level 等级  无反应  切换不了","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","李宏斌","2019-08-22","主干(#trunk)","Closed","2019-08-23","张津铭","已解决","AC iPad 2.9.0 0823(#836)","2019-08-23","李宏斌","2019-08-23","0","","","李宏斌","2019-08-23","",""
"10180","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","做作业---练一练显示黑屏  ","","3","","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","李宏斌","2019-08-22","AC iPad 2.9.0 0821(#834)","Closed","2019-08-26","龚慧超","已解决","AC iPad 2.9.0 0823(#836)","2019-08-23","李宏斌","2019-08-26","0","","","李宏斌","2019-08-26","",""
"10187","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.9.0(#338)","","","sph课节数不全时，app 报”数据获取失败“-----期望做保护，课表页有多少数据显示多少数据，选择等级页面正常显示。","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-08-23","主干(#trunk)","Closed","2019-08-23","程应展","已解决","AC_iphone_2.9.0_8.23(#841)","2019-08-23","胡春霞","2019-08-23","0","","","胡春霞","2019-08-23","",""
"10189","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.9.0(#338)","","","sph试听过期”点我预约课程“气泡未实时更新","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-08-23","主干(#trunk)","Closed","2019-08-23","程应展","已解决","AC_iphone_2.9.0_8.23(#841)","2019-08-23","胡春霞","2019-08-23","0","","","胡春霞","2019-08-23","",""
"10208","AC-直播学生端(#10)","通用(#16)","AC_Android_2.9.0(#340)","","","首次安装线路选择默认为空，需求默认选择线路1","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-08-26","主干(#trunk)","Closed","2019-08-28","xiang.xiang","已解决","v08.09 pm android 29007(#849)","2019-08-26","胡春霞","2019-08-28","0","","","胡春霞","2019-08-28","",""
"10370","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","IOS9系统IPAD上SPH课程L1及L2课程无解锁状态问题","","3","3","代码错误","","","[步骤]开发排查原因：时间戳长度越界引起。
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-03","主干(#trunk)","Closed","2019-09-03","张津铭","已解决","AC iPad 2.9.1 0903(#851)","2019-09-03","胡春霞","2019-09-03","0","","","胡春霞","2019-09-03","",""
"10376","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","phc课程已过期，SPH课程未过期，点击SPH课表页约课，提示该课程已经过期问题","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-03","主干(#trunk)","Closed","2019-09-03","张津铭","已解决","AC iPad 2.9.1 0903(#851)","2019-09-03","胡春霞","2019-09-03","0","","","胡春霞","2019-09-03","",""
"10377","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.9.0(#339)","","","SPH课表页作业状态显示不对（已做作业，未做作业）","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-03","主干(#trunk)","Closed","2019-09-03","张津铭","已解决","AC iPad 2.9.1 0903(#851)","2019-09-03","胡春霞","2019-09-03","0","","","胡春霞","2019-09-03","",""
"10411","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","安卓手机，课程阶段界面，UI资源显示的与蓝湖不符","","3","","界面优化","","","[步骤]
安卓手机，课程阶段界面，UI资源显示的与蓝湖不符
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","主干(#trunk)","Closed","2019-09-16","徐铁鹏","已解决","主干(#trunk)","2019-09-11","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10413","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","线路切换中，多次切换线路时，会导致部分切换不生效","","3","3","代码错误","","","[步骤]线路切换中，多次切换线路时，会导致部分切换不生效
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","主干(#trunk)","Closed","2019-09-16","xiang.xiang","已解决","主干(#trunk)","2019-09-11","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10414","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","H5修改了域名的页面 ，都显示空白","","2","","代码错误","","","[步骤]
http://192.168.10.209:8103/h5/coursedetail?stuId=283086&channel=2000&courseId=210&debug=1

[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","AC iPad 2.10.0 递交测试 0911(#852)","Closed","2019-09-16","曾扬平","已解决","主干(#trunk)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10415","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","用户上L2的课，完成预习中的一个模块，上课记录中点击预习，没有进入预习主界面，而是直接进入了预习视频","","3","","代码错误","","","[步骤]
用户上L2的课，完成预习中的一个模块
上课记录中点击预习，没有进入预习主界面，而是直接进入了预习视频
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","AC iPad 2.10.0 递交测试 0911(#852)","Closed","2019-09-17","龚慧超","已解决","AC iPad 2.10.0 递交测试 0912(#853)","2019-09-12","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10416","AC-直播学生端(#10)","直播间(#17)","AC_iPad_2.10.0(#353)","","","L1直播间中，进行一次语音评测后，离开教室时客户端闪退","","2","2","代码错误","","","[步骤]
L1直播间中，进行一次语音评测后，离开教室时客户端闪退
课件消息中提示：埋点error
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","AC iPad 2.10.0 递交测试 0911(#852)","Closed","2019-09-17","龚慧超","已解决","AC iPad 2.10.0 递交测试 0912(#853)","2019-09-12","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10417","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","L2的课程详情界面，用户只完成了预习中的一个模块，就显示了钻石图片","","3","3","代码错误","","","[步骤]
L2的课程详情界面，用户只完成了预习中的一个模块，就显示了钻石图片
[结果]
[期望]
","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","主干(#trunk)","Closed","2019-09-17","郭栋梁","已解决","主干(#trunk)","2019-09-17","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10418","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","测试服线路只配置了2条线路，IPAD固定显示了3条线路","","3","3","代码错误","","","[步骤]
测试服线路只配置了2条线路，IPAD固定显示了3条线路
安卓和Iphone 只显示2条线路
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-11","AC iPad 2.10.0 递交测试 0911(#852)","Closed","2019-09-17","程应展","已解决","AC iPad 2.10.0 递交测试 0912(#853)","2019-09-12","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10423","AC-直播学生端(#10)","直播间(#17)","AC_iPad_2.10.0(#353)","","","PHC的第一节课，课件中不显示倒计时，其他端显示","","3","","代码错误","","","[步骤]
PHC的第一节课，课件中不显示倒计时，其他端显示
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","AC iPad 2.10.0 递交测试 0912(#853)","Closed","2019-09-17","龚慧超","已解决","AC iPad 2.10.0 递交测试 0916(#854)","2019-09-16","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10424","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","PHC作业迭代：说一说里面，录音进度条的方向是顺时针的，需求是逆时针的","","3","3","代码错误","","","[步骤]
PHC作业迭代：说一说里面，录音进度条的方向是顺时针的，需求是逆时针的
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-17","xiang.xiang","已解决","主干(#trunk)","2019-09-12","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10425","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","PHC作业迭代：说一说里面，录完音频后，播放“我的录音”，快速点击播放和暂停按钮，之后点击播放录音。就被暂停了","","3","","代码错误","","","[步骤]
PHC作业迭代：说一说里面，录完音频后，播放“我的录音”，快速点击播放和暂停按钮，之后点击播放录音。就被暂停了
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-17","盛锋","已解决","0912 pm android 210002(#866)","2019-09-12","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10426","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","PC端，PHC作业界面 “点击跟读”提示文字没有和录音按钮对齐","","3","","代码错误","","","[步骤]
问题1：“点击跟读”提示文字没有和录音按钮对齐


[结果]
[期望]","已关闭","0000-00-00","1","已确认","王财坡,","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-19","王财坡","已解决","win_2.10.0(#867)","2019-09-18","胡春霞","2019-09-19","0","","","胡春霞","2019-09-19","",""
"10429","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","PHC作业 说一说：点击录音按钮后，按钮位置上移","","3","","代码错误","","","[步骤]
PHC作业 说一说：点击录音按钮后，按钮位置上移
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-19","王财坡","已解决","win_2.10.0(#867)","2019-09-18","胡春霞","2019-09-19","0","","","胡春霞","2019-09-19","",""
"10427","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","PHC作业，左上角的返回按钮点击无效，进入作业后无法退出作业","","3","3","代码错误","","","[步骤]
PHC作业，左上角的返回按钮点击无效，进入作业后无法退出作业
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-17","王财坡","已解决","win_2.10.0(#867)","2019-09-16","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10428","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","PHC作业，加载动画没有显示新增的背景图，目前显示的是空白?","","3","","代码错误","","","[步骤]
PHC作业，加载动画没有显示背景图，目前显示的是空白
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-19","陈明泉","已解决","主干(#trunk)","2019-09-18","胡春霞","2019-09-19","0","","","胡春霞","2019-09-19","",""
"10430","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","课程明细：过期的课次在课程明细中没有处于 “已过期”的状态下","","3","3","代码错误","","","[步骤]
课程明细：过期的课次在课程明细中没有处于 “已过期”的状态下
测试账号：18701890657
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","0912 pm android 210002(#866)","Closed","2019-09-17","厉国甜","设计如此","","2019-09-16","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10431","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","iphone  普林斯顿购课页，视频没有显示出来","","3","3","代码错误","","","[步骤]
开发服
iphone  普林斯顿购课页，视频没有显示出来

[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","AC_iphone_2.10.0_9.12(#860)","Closed","2019-09-16","俞立荣","已解决","AC_iphone_2.10.0_9.16(#861)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10432","AC-直播学生端(#10)","服务端(#145)","AC_Windows_2.10.0(#355)","","","CMS 发送消息中心，接口提示sever error","","2","2","代码错误","","","[步骤]
CMS 发送消息中心，接口提示sever error
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","主干(#trunk)","Closed","2019-09-19","孙林超","已解决","主干(#trunk)","2019-09-18","carriere.zhang","2019-09-19","0","","","carriere.zhang","2019-09-19","",""
"10433","AC-直播学生端(#10)","服务端(#145)","AC_iPad_2.10.0(#353)","","","IOS评分，选择5星后，点击‘去评价’，提示sever  error，弹出了钻石弹窗，但是实际上钻石没有发","","3","3","代码错误","","","[步骤]
IOS评分，选择5星后，点击‘去评价’，提示sever  error
[结果]

[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-12","AC iPad 2.10.0 递交测试 0912(#853)","Closed","2019-09-16","厉国甜","已解决","主干(#trunk)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10441","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","消息中心缺省页问题","","3","3","代码错误","","","[步骤]
[结果]
[期望]按照UI设计","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","陈文龙","已解决","win_2.10.0(#867)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10442","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","NGK切换阶段成功后需要跳转到课表页","","3","3","代码错误","","","[步骤]
[结果]目前停留在切换页面
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","龚慧超","已解决","AC iPad 2.10.0 递交测试 0916(#854)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10443","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","ngk -L2预习视频完成后状态不对","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","王财坡","已解决","win_2.10.0(#867)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10446","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","IOS评分：1-4星评分，提交反馈建议的输入文本框 输入10个字符以下的提交按钮就置亮了","","3","3","代码错误","","","[步骤]
IOS评分：1-4星评分，提交反馈建议的输入文本框 输入10个字符以下的提交按钮就置亮了
需求是10个字符或以上 提交按钮才置亮可点击
1.
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-17","程应展","已解决","AC_iphone_2.10.0_9.16(#861)","2019-09-16","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10449","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","IOS评分：提建议的输入框，调起键盘会把数据框的提交按钮挡住，体验不太好，建议优化","","4","4","代码错误","","","[步骤]
IOS评分：提建议的输入框，调起键盘会把数据框的提交按钮挡住，体验不太好，建议优化
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-16","程应展","已解决","AC_iphone_2.10.0_9.16(#861)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10450","AC-直播学生端(#10)","服务端(#145)","AC_iPhone_2.10.0(#352)","","","IOS 5星评分后，钻石奖励没有发放","","3","","代码错误","","","[步骤]
IOS 5星评分后，钻石奖励没有发放
钻石流水中无数据，评分表中显示奖励为0
ID：149110
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-16","程应展","已解决","AC_iphone_2.10.0_9.16(#861)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10451","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","PHC，录音中，文字“点击跟读”，不显示，需求是变成“点击结束”","","3","3","代码错误","","","[步骤]
PHC，录音中，文字“点击跟读”，不显示，需求是变成“点击结束”
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-16","周俊","已解决","主干(#trunk)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10452","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","消息中心-创建消息无法批量推送问题","","1","1","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-19","孙林超","已解决","主干(#trunk)","2019-09-18","胡春霞","2019-09-19","0","","","胡春霞","2019-09-19","",""
"10454","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","消息中心-无法下载EXCELL模板","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-17","伍雨豪","已解决","主干(#trunk)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10458","AC-直播学生端(#10)","服务端(#145)","AC_iPhone_2.10.0(#352)","","","IOS评分：账号先在安卓上上一节课，再用IPHONE 上另一节课，IOS的评分弹窗没有弹出了","","3","3","代码错误","","","[步骤]
IOS评分：账号先在安卓上上一节课，再用IPHONE 上另一节课，IOS的评分弹窗没有弹出了
用户ID：160493
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-16","厉国甜","已解决","主干(#trunk)","2019-09-16","carriere.zhang","2019-09-16","0","","","carriere.zhang","2019-09-16","",""
"10460","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","消息中心，下载消息模板后打开乱码","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","杨庆磊","外部原因","主干(#trunk)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10462","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","NGK购课页文案及对齐问题","","3","3","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","1","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-19","陈明泉","已解决","主干(#trunk)","2019-09-18","胡春霞","2019-09-19","0","","","胡春霞","2019-09-19","",""
"10466","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","L2-当前课程未配置作业，结束课程后按钮入口为:“离开教室“及（分享”","","3","3","代码错误","","","[步骤]进教室根据“courseDetailWorkType”字段
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-17","陈明泉","已解决","主干(#trunk)","2019-09-16","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10470","AC-直播学生端(#10)","直播间(#17)","AC_iPhone_2.10.0(#352)","","","L2 直播间，goodjob 和nicetry 的音效没有播出来，没有声音","","3","3","代码错误","","","[步骤]
L2 直播间，goodjob 和nicetry 的音效没有播出来，没有声音
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-16","AC_iphone_2.10.0_9.16(#861)","Closed","2019-09-17","俞立荣","已解决","AC_iphone_2.10.0_9.17(#862)","2019-09-17","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10471","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","首次上课结束后没弹出评分的问题","","3","3","代码错误","","","[步骤]手机号码：00118000012（新注册新号）
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-17","厉国甜","重复Bug","主干(#trunk)","2019-09-16","胡春霞","2019-09-17","IOS评分：账号先在安卓上上一节课，再用IPHONE 上另一节课，IOS的评分弹窗没有弹出了(10458)","","","胡春霞","2019-09-17","",""
"10473","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","L2-直播间无“good job“及”nice try“的动画音效问题","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","龚慧超","已解决","AC iPad 2.10.0 递交测试 0916(#854)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10476","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","L2-直播间未接入语音功能","","2","2","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","王财坡","已解决","win_2.10.0(#867)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10478","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","NGK课程过期&回放有效期内，以往的课程仍然可以预习、回放、作业，目前无法进行","","3","3","代码错误","","","[步骤]
[结果]账号：00118000004
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-16","王财坡","已解决","win_2.10.0(#867)","2019-09-16","胡春霞","2019-09-16","0","","","胡春霞","2019-09-16","",""
"10480","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","NGK课程过期且回放在有效期内，完成预习视频无钻石的问题","","3","3","代码错误","","","[步骤】 00118000004
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-17","王财坡","无法重现","win_2.10.0(#867)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10481","AC-直播学生端(#10)","通用(#16)","AC_Windows_2.10.0(#355)","","","L2-直播间无“good job“及”nice try“的动画音效问题","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-16","主干(#trunk)","Closed","2019-09-17","王财坡","已解决","win_2.10.0(#867)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10485","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","课程明细中，过期课程的文案需要改成“课程过期时间”","","3","","代码错误","","","[步骤]
课程明细中，过期课程的文案需要改成“课程过期时间”
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-17","AC_iphone_2.10.0_9.17(#862)","Closed","2019-09-18","曾扬平","已解决","主干(#trunk)","2019-09-17","carriere.zhang","2019-09-18","0","","","carriere.zhang","2019-09-18","",""
"10489","AC-直播学生端(#10)","通用(#16)","AC_Android_2.10.0(#354)","","","钻石明细中，安卓端文字显示不全","","3","","代码错误","","","[步骤]
钻石明细中，安卓端文字显示不全
[结果]



[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-17","0912 pm android 210002(#866)","Closed","2019-09-18","曾扬平","已解决","主干(#trunk)","2019-09-17","carriere.zhang","2019-09-18","0","","","carriere.zhang","2019-09-18","",""
"10491","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","消息中心-首次进入未获取全新的数据，需要手动滑动才显示全面问题","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-17","主干(#trunk)","Closed","2019-09-17","张津铭","已解决","AC iPad 2.10.0 递交测试 0917(#855)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10490","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","首次上课评价后获得钻石首页未实时更新，期望首页实时更新","","3","3","代码错误","","","[步骤][结果][期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-17","主干(#trunk)","Closed","2019-09-17","张津铭","已解决","AC iPad 2.10.0 递交测试 0917(#855)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10492","AC-直播学生端(#10)","通用(#16)","AC_iPad_2.10.0(#353)","","","消息中心-消息日期显示问题","","3","","代码错误","","","[步骤]
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","胡春霞","2019-09-17","主干(#trunk)","Closed","2019-09-17","张津铭","已解决","AC iPad 2.10.0 递交测试 0917(#855)","2019-09-17","胡春霞","2019-09-17","0","","","胡春霞","2019-09-17","",""
"10493","AC-直播学生端(#10)","服务端(#145)","AC_Android_2.10.0(#354)","","","课程明细中，我的课程中，课程的排序规则需要修改","","3","","代码错误","","","[步骤]
课程明细中，我的课程中，课程的排序规则需要修改
和产品确认，修改成按照课程购买时间倒序排列
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-17","0912 pm android 210002(#866)","Closed","2019-09-17","厉国甜","已解决","主干(#trunk)","2019-09-17","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10494","AC-直播学生端(#10)","服务端(#145)","AC_Android_2.10.0(#354)","","","课程明细中，用户课程过期，回放有效期为当天，课程被归到“已过期”便签下","","3","3","代码错误","","","[步骤]
课程明细中，用户课程过期，回放有效期为当天，课程被归到“已过期”便签下

[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-17","0912 pm android 210002(#866)","Closed","2019-09-17","厉国甜","已解决","主干(#trunk)","2019-09-17","carriere.zhang","2019-09-17","0","","","carriere.zhang","2019-09-17","",""
"10501","AC-直播学生端(#10)","通用(#16)","AC_iPhone_2.10.0(#352)","","","消息中心：进入消息中心列表，上滑，APP必现闪退","","2","2","代码错误","","","[步骤]
消息中心：进入消息中心列表，上滑，APP必现闪退
[结果]
[期望]","已关闭","0000-00-00","0","已确认",",","carriere.zhang","2019-09-17","AC_iphone_2.10.0_9.17(#862)","Closed","2019-09-18","俞立荣","已解决","AC_iphone_2.10.0_9.17(#862)","2019-09-17","carriere.zhang","2019-09-18","0","","","carriere.zhang","2019-09-18","",""
